time,event_id,source_event_id,element_name,element_type,event_type,item,reason
2025-07-03 17:43:48.057754381 UTC,SNK_000774,SNK_000773,Sink,DiscreteSink,ProcessStart,"{""id"":234}",
2025-07-03 17:43:48.057754382 UTC,P2_001875,Q3_000927,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 17:49:37.255775344 UTC,P1_000716,P1_000715,Process1,DiscreteProcess,ProcessFinish,"{""id"":236}",
2025-07-03 17:49:37.255775344 UTC,P1_000717,P1_000716,Process1,DiscreteProcess,WithdrawRequest,,
2025-07-03 17:49:37.255775344 UTC,P1_000718,P1_000717,Process1,DiscreteProcess,ProcessStart,"{""id"":237}",
2025-07-03 17:49:37.255775345 UTC,P2_001876,Q2_002112,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 17:49:37.255775345 UTC,P2_001877,P2_001876,Process2,DiscreteParallelProcess,ProcessStart,"{""id"":236}",
2025-07-03 17:49:37.255775345 UTC,P2_001878,P2_001877,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 17:49:37.255775346 UTC,P2_001879,Q2_002115,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 17:51:58.500421314 UTC,SRC_000611,SRC_000610,Source,DiscreteSource,ProcessFinish,"{""id"":246}",
2025-07-03 17:51:58.500421314 UTC,SRC_000612,SRC_000611,Source,DiscreteSource,ProcessStart,"{""id"":247}",
2025-07-03 17:53:16.147473005 UTC,P2_001880,P2_001873,Process2,DiscreteParallelProcess,ProcessFinish,"{""id"":235}",
2025-07-03 17:53:16.147473005 UTC,P2_001881,P2_001880,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 17:53:16.147473006 UTC,P2_001882,Q3_000929,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 17:58:48.057754381 UTC,SNK_000775,SNK_000774,Sink,DiscreteSink,ProcessFinish,"{""id"":234}",
2025-07-03 17:58:48.057754381 UTC,SNK_000776,SNK_000775,Sink,DiscreteSink,WithdrawRequest,,
2025-07-03 17:58:48.057754381 UTC,SNK_000777,SNK_000776,Sink,DiscreteSink,ProcessStart,"{""id"":235}",
2025-07-03 17:58:48.057754382 UTC,P2_001883,Q3_000931,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 18:05:47.390613097 UTC,P1_000719,P1_000718,Process1,DiscreteProcess,ProcessFinish,"{""id"":237}",
2025-07-03 18:05:47.390613097 UTC,P1_000720,P1_000719,Process1,DiscreteProcess,WithdrawRequest,,
2025-07-03 18:05:47.390613097 UTC,P1_000721,P1_000720,Process1,DiscreteProcess,ProcessStart,"{""id"":238}",
2025-07-03 18:05:47.390613098 UTC,P2_001884,Q2_002121,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 18:05:47.390613098 UTC,P2_001885,P2_001884,Process2,DiscreteParallelProcess,ProcessStart,"{""id"":237}",
2025-07-03 18:05:47.390613098 UTC,P2_001886,P2_001885,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 18:05:47.390613099 UTC,P2_001887,Q2_002124,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 18:06:58.500421314 UTC,SRC_000613,SRC_000612,Source,DiscreteSource,ProcessFinish,"{""id"":247}",
2025-07-03 18:06:58.500421314 UTC,SRC_000614,SRC_000613,Source,DiscreteSource,ProcessStart,"{""id"":248}",
2025-07-03 18:07:30.216923053 UTC,P2_001888,P2_001881,Process2,DiscreteParallelProcess,ProcessFinish,"{""id"":236}",
2025-07-03 18:07:30.216923053 UTC,P2_001889,P2_001888,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 18:07:30.216923054 UTC,P2_001890,Q3_000933,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 18:13:48.057754381 UTC,SNK_000778,SNK_000777,Sink,DiscreteSink,ProcessFinish,"{""id"":235}",
2025-07-03 18:13:48.057754381 UTC,SNK_000779,SNK_000778,Sink,DiscreteSink,WithdrawRequest,,
2025-07-03 18:13:48.057754381 UTC,SNK_000780,SNK_000779,Sink,DiscreteSink,ProcessStart,"{""id"":236}",
2025-07-03 18:13:48.057754382 UTC,P2_001891,Q3_000935,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 18:20:03.444788168 UTC,P1_000722,P1_000721,Process1,DiscreteProcess,ProcessFinish,"{""id"":238}",
2025-07-03 18:20:03.444788168 UTC,P1_000723,P1_000722,Process1,DiscreteProcess,WithdrawRequest,,
2025-07-03 18:20:03.444788168 UTC,P1_000724,P1_000723,Process1,DiscreteProcess,ProcessStart,"{""id"":239}",
2025-07-03 18:20:03.444788169 UTC,P2_001892,Q2_002130,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 18:20:03.444788169 UTC,P2_001893,P2_001892,Process2,DiscreteParallelProcess,ProcessStart,"{""id"":238}",
2025-07-03 18:20:03.444788169 UTC,P2_001894,P2_001893,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 18:20:03.444788170 UTC,P2_001895,Q2_002133,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 18:21:58.500421314 UTC,SRC_000615,SRC_000614,Source,DiscreteSource,ProcessFinish,"{""id"":248}",
2025-07-03 18:21:58.500421314 UTC,SRC_000616,SRC_000615,Source,DiscreteSource,ProcessStart,"{""id"":249}",
2025-07-03 18:22:38.718206206 UTC,P2_001896,P2_001889,Process2,DiscreteParallelProcess,ProcessFinish,"{""id"":237}",
2025-07-03 18:22:38.718206206 UTC,P2_001897,P2_001896,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 18:22:38.718206207 UTC,P2_001898,Q3_000937,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 18:28:48.057754381 UTC,SNK_000781,SNK_000780,Sink,DiscreteSink,ProcessFinish,"{""id"":236}",
2025-07-03 18:28:48.057754381 UTC,SNK_000782,SNK_000781,Sink,DiscreteSink,WithdrawRequest,,
2025-07-03 18:28:48.057754381 UTC,SNK_000783,SNK_000782,Sink,DiscreteSink,ProcessStart,"{""id"":237}",
2025-07-03 18:28:48.057754382 UTC,P2_001899,Q3_000939,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 18:36:58.500421314 UTC,SRC_000617,SRC_000616,Source,DiscreteSource,ProcessFinish,"{""id"":249}",
2025-07-03 18:36:58.500421314 UTC,SRC_000618,SRC_000617,Source,DiscreteSource,ProcessNonStart,,Downstream is full
2025-07-03 18:36:58.500421315 UTC,SRC_000619,Q1_000619,Source,DiscreteSource,ProcessNonStart,,Downstream is full
2025-07-03 18:37:25.380040078 UTC,P2_001900,P2_001897,Process2,DiscreteParallelProcess,ProcessFinish,"{""id"":238}",
2025-07-03 18:37:25.380040078 UTC,P2_001901,P2_001900,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 18:37:25.380040079 UTC,P2_001902,Q3_000941,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 18:38:13.414330629 UTC,P1_000725,P1_000724,Process1,DiscreteProcess,ProcessFinish,"{""id"":239}",
2025-07-03 18:38:13.414330629 UTC,P1_000726,P1_000725,Process1,DiscreteProcess,WithdrawRequest,,
2025-07-03 18:38:13.414330629 UTC,P1_000727,P1_000726,Process1,DiscreteProcess,ProcessStart,"{""id"":240}",
2025-07-03 18:38:13.414330630 UTC,SRC_000620,Q1_000621,Source,DiscreteSource,ProcessStart,"{""id"":250}",
