2025-01-01 00:01:00,Stockpile 1,ArrayStock,Add,"Added 100.0. Resources: ArrayResource { vec: [7548.666914159462, 1887.1667285398655, 0.0, 0.0, 0.0] }"
2025-01-01 00:01:00,Reclaimer 3,Process,info,"Processed quantity 100.0 (ArrayResource { vec: [80.0, 20.0, 0.0, 0.0, 0.0] })"
2025-01-01 00:01:00,Output Stockpile 1,ArrayStock,Add,"Added ArrayResource { vec: [80.0, 20.0, 0.0, 0.0, 0.0] }. Resources: ArrayResource { vec: [451.33308584053805, 385.95803943563897, 45.52079466258407, 45.52079466258407, 0.0] }"
2025-01-01 00:01:10,Stockpile 2,ArrayStock,Add,"Added 92.74697771449817. Resources: ArrayResource { vec: [0.0, 5538.854437361912, 923.1424062269854, 923.1424062269854, 0.0] }"
2025-01-01 00:01:10,Stockpile 3,ArrayStock,Add,"Added 92.74697771449817. Resources: ArrayResource { vec: [4937.326401779139, 4937.326401779139, 4937.326401779139, 4937.326401779139, 0.0] }"
2025-01-01 00:01:10,Reclaimer 2,MyQueueCombinerProcess,info,"{""message"": ""Processed quantity"", ""quantity"": ArrayResource { vec: [23.186744428624543, 92.74697771449817, 34.78011664293682, 34.78011664293682, 0.0] }}"
2025-01-01 00:01:10,Output Stockpile 2,ArrayStock,Add,"Added ArrayResource { vec: [23.186744428624543, 92.74697771449817, 34.78011664293682, 34.78011664293682, 0.0] }. Resources: ArrayResource { vec: [62.67359822086136, 250.69439288344543, 94.01039733129204, 94.01039733129204, 0.0] }"
2025-01-01 00:01:15,Stockpile 1,ArrayStock,Add,"Added 96.31216592514949. Resources: ArrayResource { vec: [7471.617181419342, 1867.9042953548355, 0.0, 0.0, 0.0] }"
2025-01-01 00:01:15,Stockpile 2,ArrayStock,Add,"Added 96.31216592514949. Resources: ArrayResource { vec: [0.0, 5466.620312918049, 911.1033854863417, 911.1033854863417, 0.0] }"
2025-01-01 00:01:15,Reclaimer 1,MyQueueCombinerProcess,info,"{""message"": ""Processed quantity"", ""quantity"": ArrayResource { vec: [77.04973274011958, 91.496557628892, 12.039020740643688, 12.039020740643688, 0.0] }}"
2025-01-01 00:01:15,Output Stockpile 1,ArrayStock,Add,"Added ArrayResource { vec: [77.04973274011958, 91.496557628892, 12.039020740643688, 12.039020740643688, 0.0] }. Resources: ArrayResource { vec: [528.3828185806576, 477.45459706453096, 57.55981540322776, 57.55981540322776, 0.0] }"
2025-01-01 00:01:40,Stockpile 1,ArrayStock,Add,"Added 150.8536050179713. Resources: ArrayResource { vec: [7350.934297404965, 1837.7335743512413, 0.0, 0.0, 0.0] }"
2025-01-01 00:01:40,Stockpile 2,ArrayStock,Add,"Added 150.8536050179713. Resources: ArrayResource { vec: [0.0, 5353.4801091545705, 892.2466848590954, 892.2466848590954, 0.0] }"
2025-01-01 00:01:40,Reclaimer 1,MyQueueCombinerProcess,info,"{""message"": ""Processed quantity"", ""quantity"": ArrayResource { vec: [120.68288401437702, 143.31092476707272, 18.85670062724641, 18.85670062724641, 0.0] }}"
