time,event_id,element_name,element_type,event_type,truck_id,total,fe,other_elements,fe_%,magnetite,hematite,limonite,message
2025-05-01 00:04:24.099649323 UTC,PR-LOADING_000032,loading_process,LoadingProcess,ProcessSuccess,Truck_01,5.0,3.0,2.0,0.6,0.5,0.25,0.75,
2025-05-01 00:04:24.099649323 UTC,PR-LOADING_000033,loading_process,LoadingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:04:24.099649324 UTC,PR-LOADMOV_000041,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:04:24.099649324 UTC,PR-LOADMOV_000042,loaded_truck_movements,LoadedTruckMovements,TruckMovementStart,Truck_01,,,,,,,,
2025-05-01 00:04:24.099649324 UTC,PR-LOADMOV_000043,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:04:24.099649324 UTC,PR-LOADING_000034,loading_process,LoadingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:04:24.099649325 UTC,PR-LOADMOV_000044,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:04:24.099649325 UTC,PR-LOADING_000035,loading_process,LoadingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:05:27.453208154 UTC,PR-LOADMOV_000045,loaded_truck_movements,LoadedTruckMovements,TruckMovementSuccess,Truck_02,,,,,,,,
2025-05-01 00:05:27.453208154 UTC,PR-LOADMOV_000046,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:05:27.453208155 UTC,PR-LOADMOV_000047,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:05:27.453208155 UTC,PR-DUMPING_000025,dumping_process,DumpingProcess,WithdrawRequest,,,,,,,,,
2025-05-01 00:05:27.453208155 UTC,PR-DUMPING_000026,dumping_process,DumpingProcess,ProcessStart,Truck_02,5.0,3.0,2.0,0.6,0.5,0.25,0.75,
2025-05-01 00:05:27.453208156 UTC,PR-LOADMOV_000048,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:05:39.471425112 UTC,PR-DUMPING_000027,dumping_process,DumpingProcess,ProcessSuccess,Truck_02,5.0,3.0,2.0,0.6,0.5,0.25,0.75,
2025-05-01 00:05:39.471425112 UTC,PR-DUMPING_000028,dumping_process,DumpingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:05:39.471425113 UTC,PR-DUMPMOV_000034,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:05:39.471425113 UTC,PR-DUMPMOV_000035,dumped_truck_movements,DumpedTruckMovements,TruckMovementStart,Truck_02,,,,,,,,
2025-05-01 00:05:39.471425113 UTC,PR-DUMPING_000029,dumping_process,DumpingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:05:39.471425113 UTC,PR-DUMPMOV_000036,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:05:39.471425114 UTC,PR-DUMPMOV_000037,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:05:39.471425114 UTC,PR-DUMPING_000030,dumping_process,DumpingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:05:48.800891498 UTC,PR-LOADMOV_000049,loaded_truck_movements,LoadedTruckMovements,TruckMovementSuccess,Truck_01,,,,,,,,
2025-05-01 00:05:48.800891498 UTC,PR-LOADMOV_000050,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:05:48.800891499 UTC,PR-LOADMOV_000051,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:05:48.800891499 UTC,PR-DUMPING_000031,dumping_process,DumpingProcess,WithdrawRequest,,,,,,,,,
2025-05-01 00:05:48.800891499 UTC,PR-DUMPING_000032,dumping_process,DumpingProcess,ProcessStart,Truck_01,5.0,3.0,2.0,0.6,0.5,0.25,0.75,
2025-05-01 00:05:48.800891500 UTC,PR-LOADMOV_000052,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:06:04.878884671 UTC,PR-DUMPING_000033,dumping_process,DumpingProcess,ProcessSuccess,Truck_01,5.0,3.0,2.0,0.6,0.5,0.25,0.75,
2025-05-01 00:06:04.878884671 UTC,PR-DUMPING_000034,dumping_process,DumpingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:06:04.878884672 UTC,PR-DUMPMOV_000038,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:06:04.878884672 UTC,PR-DUMPING_000035,dumping_process,DumpingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:06:04.878884672 UTC,PR-DUMPMOV_000039,dumped_truck_movements,DumpedTruckMovements,TruckMovementStart,Truck_01,,,,,,,,
2025-05-01 00:06:04.878884672 UTC,PR-DUMPMOV_000040,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:06:04.878884673 UTC,PR-DUMPMOV_000041,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:06:04.878884673 UTC,PR-DUMPING_000036,dumping_process,DumpingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:08:03.690028597 UTC,PR-DUMPMOV_000042,dumped_truck_movements,DumpedTruckMovements,TruckMovementSuccess,Truck_02,,,,,,,,
2025-05-01 00:08:03.690028597 UTC,PR-DUMPMOV_000043,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:08:03.690028598 UTC,PR-DUMPMOV_000044,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:08:03.690028598 UTC,PR-LOADING_000036,loading_process,LoadingProcess,WithdrawRequest,,,,,,,,,
2025-05-01 00:08:03.690028598 UTC,PR-LOADING_000037,loading_process,LoadingProcess,ProcessStart,Truck_02,5.0,3.0,2.0,0.6,0.5,0.25,0.75,
2025-05-01 00:08:03.690028599 UTC,PR-DUMPMOV_000045,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:08:22.183912328 UTC,PR-LOADING_000038,loading_process,LoadingProcess,ProcessSuccess,Truck_02,5.0,3.0,2.0,0.6,0.5,0.25,0.75,
2025-05-01 00:08:22.183912328 UTC,PR-LOADING_000039,loading_process,LoadingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:08:22.183912329 UTC,PR-LOADMOV_000053,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:08:22.183912329 UTC,PR-LOADING_000040,loading_process,LoadingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:08:22.183912329 UTC,PR-LOADMOV_000054,loaded_truck_movements,LoadedTruckMovements,TruckMovementStart,Truck_02,,,,,,,,
2025-05-01 00:08:22.183912329 UTC,PR-LOADMOV_000055,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:08:22.183912330 UTC,PR-LOADMOV_000056,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:08:22.183912330 UTC,PR-LOADING_000041,loading_process,LoadingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:09:17.814802730 UTC,PR-DUMPMOV_000046,dumped_truck_movements,DumpedTruckMovements,TruckMovementSuccess,Truck_01,,,,,,,,
2025-05-01 00:09:17.814802730 UTC,PR-DUMPMOV_000047,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:09:17.814802731 UTC,PR-DUMPMOV_000048,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:09:17.814802731 UTC,PR-LOADING_000042,loading_process,LoadingProcess,WithdrawRequest,,,,,,,,,
2025-05-01 00:09:17.814802731 UTC,PR-LOADING_000043,loading_process,LoadingProcess,ProcessStart,Truck_01,5.0,3.0,2.0,0.6,0.5,0.25,0.75,
2025-05-01 00:09:17.814802732 UTC,PR-DUMPMOV_000049,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
